title,company,location,salary,experience,education,keyword,date,url
軟韌體測試工程師,鴻海精密工業股份有限公司,新竹市,面議,,,QA,20260827,https://www.104.com.tw/job/53l1j
R1535 軟體工程師Software Engineer (新竹)(New Headcount),布魯克斯自動化股份有限公司,新竹縣竹北市,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/930r8
軟體工程師,倢邦科技有限公司,新竹縣竹北市,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/8vzkc
D4000  自動化測試工程師(SDET),富邦媒體科技股份有限公司(富邦momo),台北市內湖區,面議,,,SDET,20260827,https://www.104.com.tw/job/8yyl4
D4000 資深自動化測試工程師(Sr. SDET),富邦媒體科技股份有限公司(富邦momo),台北市內湖區,面議,,,SDET,20260827,https://www.104.com.tw/job/8yyo7
Engineering_Service QA,LINE Taiwan_台灣連線股份有限公司,台北市內湖區,面議,,,QA,20260827,https://www.104.com.tw/job/959ua
品保部經理,三千集團_三千貿易股份有限公司,台北市中山區,面議,,,QA,20260827,https://www.104.com.tw/job/8vgl3
軟體測試工程師,藍新科技股份有限公司,台北市南港區,面議,,,軟體測試工程師,20260827,https://www.104.com.tw/job/7dd4r
【A008】QA軟體測試工程師（Web）,一騰資訊服務股份有限公司,台北市信義區,面議,,,軟體測試工程師,20260827,https://www.104.com.tw/job/94klq
Quality Assurance engineer (軟體測試工程師）,駿隆科技平台股份有限公司,台北市中正區,面議,,,軟體測試工程師,20260827,https://www.104.com.tw/job/8nfds
網路系統維護工程師,邦鉑科技股份有限公司,台北市內湖區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/7hryf
資訊系統工程師(自動化測試)-台北(軟體技術服務處-軟體測試部),日辰資訊股份有限公司,台北市內湖區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/6xzsj
BMS Commissioning Engineer 【樓宇自控/樓宇自動化測試工程师 -台北】,Johnson Controls Taiwan_台灣江森自控股份有限公司,台北市松山區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/931m2
QA 品質工程師 (自動化測試與 AI 流程優化),德安資訊股份有限公司,台北市中山區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/8z9d1
TQA 軟體自動化測試工程師,明瑞資通科技股份有限公司,台北市中山區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/7csq8
自動化測試軟體工程師_16152,和碩集團_和碩聯合科技股份有限公司,台北市北投區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/94sn7
"軟體工程師 / Software Engineer (年薪620,000起~)",資康科技有限公司,台北市中山區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/8240y
Software Engineer / 軟體工程師,生德奈生物科技股份有限公司,台北市中山區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/7cgs5
Google 專案 | (新店) Python 整合開發工程師 | Backend + Cloud | 111655,HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市新店區,面議,,,SDET,20260827,https://www.104.com.tw/job/8vq68
(新店) Back-end Developer | Backend + Cloud | 111655,HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,新北市新店區,面議,,,SDET,20260827,https://www.104.com.tw/job/91kim
QA Engineer 測試品管工程師,創義達科技股份有限公司,新北市汐止區,面議,,,QA,20260827,https://www.104.com.tw/job/6qxhc
資深軟體測試工程師（Sr. QA Engineer）,互動資通股份有限公司,新北市新莊區,面議,,,QA,20260827,https://www.104.com.tw/job/91gd9
軟體測試工程師,侑盈科技有限公司,新北市三重區,面議,,,軟體測試工程師,20260827,https://www.104.com.tw/job/90qxs
[伺服器自動化測試]軟體研發工程師,鴻海精密工業股份有限公司,新北市土城區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/816oy
W_資深產測自動化軟體工程師,瑞軒科技股份有限公司,新北市中和區,面議,,,自動化測試,20260827,https://www.104.com.tw/job/8iafh
軟體開發工程師,侑盈科技有限公司,新北市三重區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/873ys
AI 應用軟體開發工程師,玉晶光電股份有限公司,台中市大雅區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/959hd
自動化軟體設計工程師,芫鉅科技有限公司,台中市西屯區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/7qm9w
軟體開發工程師-台中辦公室,高僑自動化科技股份有限公司,台中市南屯區,面議,,,品檢軟體工程師,20260827,https://www.104.com.tw/job/88el7
